ts_event,long_symbols,short_symbols,strike,expiry,pred_spread,realized_spread,edge_1m,edge_15m,edge_60m,correct,n_universe
2025-06-12 14:25:00+00:00,RGTI,IONQ,,1970-01-01,0.30422425270080566,0.10250729410803855,0.05075889478339,0.526561692446539,0.5589536513689082,1,36
2025-06-12 14:26:00+00:00,RGTI,QUBT,,1970-01-01,0.19805355370044708,-0.222482637330016,,,,0,25
2025-06-12 14:27:00+00:00,RGTI,QUBT,,1970-01-01,0.1344822198152542,0.1718922803626302,0.10359985077261022,0.17864074746433156,0.3188297475416691,1,31
2025-06-12 14:28:00+00:00,QUBT,IONQ,,1970-01-01,0.07037948071956635,0.09743317167435339,0.18203747258469405,-0.5846319190396281,-0.21823968340921132,1,30
2025-06-12 14:29:00+00:00,IONQ,QUBT,,1970-01-01,0.3107573390007019,0.10394446358838576,0.28518567942776657,1.772204667551545,1.6199844978130593,1,32
2025-06-12 14:30:00+00:00,QBTS,IONQ,,1970-01-01,0.2123050093650818,0.17266616468947565,,,,1,33
2025-06-12 14:31:00+00:00,IONQ,QBTS,,1970-01-01,0.1373039186000824,0.11556139051043447,,,,1,37
2025-06-12 14:32:00+00:00,QBTS,QUBT,,1970-01-01,0.2081599086523056,0.0217642715694164,,,,1,40
2025-06-12 14:33:00+00:00,QUBT,RGTI,,1970-01-01,0.09350252151489258,-0.08184318135212902,-0.07090553283487777,0.5369891257412029,0.5413621185661671,0,37
2025-06-12 14:34:00+00:00,IONQ,QUBT,,1970-01-01,0.19283446669578552,-0.07166176244423153,0.0037933994282211628,0.9582653591288178,-0.38961456478361345,0,31
2025-06-12 14:35:00+00:00,RGTI,IONQ,,1970-01-01,0.3213005065917969,0.2129723596798176,0.12846466951988628,0.5743275606148459,3.052339644624289,1,27
2025-06-12 14:36:00+00:00,RGTI,QUBT,,1970-01-01,0.9393629431724548,0.03506933574343406,-0.2526627703585552,-1.7854915386770653,-1.0461976449684398,1,37
2025-06-12 14:37:00+00:00,QBTS,QUBT,,1970-01-01,0.27758103609085083,-0.13484796846518995,,,,0,32
2025-06-12 14:38:00+00:00,QBTS,QUBT,,1970-01-01,0.45117735862731934,0.34967087527406243,0.09654416246524677,,,1,25
2025-06-12 14:39:00+00:00,QUBT,RGTI,,1970-01-01,0.15051768720149994,0.2724712138924926,0.14594132370108315,0.43602225044098986,0.31761988089599713,1,27
2025-06-12 14:40:00+00:00,IONQ,QUBT,,1970-01-01,0.4118594825267792,0.04992547732412157,-0.061906091575026995,1.1211167806595344,1.8685295490099878,1,31
2025-06-12 14:41:00+00:00,QBTS,QUBT,,1970-01-01,0.23258627951145172,0.345717829599353,,,,1,29
2025-06-12 14:42:00+00:00,QUBT,IONQ,,1970-01-01,0.11581778526306152,0.16692657299449928,0.128815105820061,0.9262706575184881,1.801495764854477,1,31
2025-06-12 14:43:00+00:00,QBTS,QUBT,,1970-01-01,0.3031873404979706,0.014226340705675387,,,,1,31
2025-06-12 14:44:00+00:00,IONQ,RGTI,,1970-01-01,0.13801032304763794,-0.003788826211114993,0.04510918886885251,-0.1206029806560342,-0.12981799193326898,0,40
2025-06-12 14:45:00+00:00,QUBT,QBTS,,1970-01-01,1.737215518951416,-0.23834057119010724,,,,0,32
2025-06-12 14:46:00+00:00,IONQ,QBTS,,1970-01-01,0.08639336377382278,0.07169555180093753,,,,1,37
2025-06-12 14:47:00+00:00,IONQ,QBTS,,1970-01-01,0.09701615571975708,-0.08652839188248347,,,,0,23
2025-06-12 14:48:00+00:00,QBTS,QUBT,,1970-01-01,0.32032066583633423,0.04722483511994961,,,,1,30
2025-06-12 14:49:00+00:00,QBTS,RGTI,,1970-01-01,2.095987319946289,-0.09122207482413201,,,,0,27
